# This file: https://hgdownload.soe.ucsc.edu/hubs/UCSC_GI.assemblyHubList.txt
# last update: 2022-09-02, 2320 assemblies listed
#
# Providing a listing of assembly resources available for display in
# the UCSC Genome Browser.  Tab separated list currently with six columns,
# additional columns may be added in the futue.
# Construct a short URL with the accession name to display this assembly
# in the genome browser. For example: https://genome.ucsc.edu/h/GCA_003369685.2
#
# Note: a clade with suffix '(L)' is found in the 'legacy' set of assemblies.
# 'legacy' are assemblies that have become outdated and superseded by newer
# and better assemblies.
#
# currently clade groupings found in the GenArk are:
# birds fish fungi invertebrate mammals plants primates vertebrate viral
#
# where 'vertebrate' are the 'other' vertebrates not alreaded included in
#    birds fish mammals primates
#
# 'invertebrate' can include a broad range of organisms including single
#    cell eukaryotic protists etc.
#
# 'viral' currently includes most viruses of interest related to human
#         pathogens
#
# future plans to include selected sets of bacteria and archaea assemblies
#
# accession	assembly	scientific name	common name	taxonId	GenArk clade
GCA_001624675.1	NOD_ShiLtJ_v1	Mus musculus	house mouse NOD_ShiLtJ	10090	mammals
GCA_001624745.1	NZO_HlLtJ_v1	Mus musculus	house mouse NZO_HlLtJ	10090	mammals
GCA_001624775.1	PWK_PhJ_v1	Mus musculus musculus	house mouse PWK_PhJ	39442	mammals
GCA_001624835.1	WSB_EiJ_v1	Mus musculus domesticus	house mouse WSB_EiJ	10092	mammals
GCA_001624865.1	SPRET_EiJ_v1	Mus spretus	wild mouse SPRET_EiJ	10096	mammals
GCA_001632525.1	BALB_cJ_v1	Mus musculus	house mouse BALB_cJ	10090	mammals
GCA_001632555.1	C57BL_6NJ_v1	Mus musculus	house mouse C57BL_6NJ	10090	mammals
GCA_001632575.1	C3H_HeJ_v1	Mus musculus	house mouse C3H_HeJ	10090	mammals
GCA_001632615.1	LP_J_v1	Mus musculus	house mouse LP_J	10090	mammals
GCA_001651235.1	ASM165123v1	Giraffa tippelskirchi	Masai giraffe (MA1 2016 Penn St)	439328	mammals
GCA_001660835.1	ASM166083v1	Okapia johnstoni	okapi	86973	mammals
GCA_001685075.1	ASM168507v1	Ellobius lutescens	Transcaucasian mole vole	39086	mammals
GCA_001685095.1	ETalpinus_0.1	Ellobius talpinus	Northern mole vole	329620	mammals
GCA_001685135.1	ManJav1.0	Manis javanica	Malayan pangolin (MP_PG03-UM 2016 genbank)	9974	mammals(L)
GCA_001698545.1	ASM169854v1	Rhinopithecus bieti	black snub-nosed monkey (Rb0 v1 genbank 2016)	61621	primates(L)
GCA_001704415.1	ARS1	Capra hircus	goat (San Clemente 2016 USDA genbank)	9925	mammals(L)
GCA_001708105.1	ASM170810v1	Komagataella pastoris	budding yeast K.pastoris ATCC 28485	4922	fungi
GCA_001857705.1	PanPar1.0	Panthera pardus	leopard (Maewha 2016 genbank)	9691	mammals(L)
GCA_001870855.1	T_cupido_pinnatus_GPC_3440_v1	Tympanuchus cupido pinnatus	greater prairie chicken	211916	birds
GCA_001887905.1	LycPicSAfr1.0	Lycaon pictus	African hunting dog	9622	mammals
GCA_001888835.1	ASM188883v1	Rhinolophus sinicus	Chinese rufous horseshoe bat	89399	mammals
GCA_001890085.1	ASM189008v1	Hipposideros armiger	great roundleaf bat (ML-2016 2016 genbank)	186990	mammals(L)
GCA_001922835.1	NIST_Tur_tru_v1	Tursiops truncatus	common bottlenose dolphin (MMES2002162SC 2016 genbank)	9739	mammals(L)
GCA_001949185.1	Rvar_4.0	Ramazzottius varieornatus	R.varieornatus (YOKOZUNA-1 2016 tardigrades)	947166	invertebrate
GCA_002007445.1	ASM200744v1	Ailuropoda melanoleuca	giant panda (Jingjing v1 2017)	9646	mammals(L)
GCA_002007465.1	ASM200746v1	Ailurus styani	lesser panda	424585	mammals
GCA_002057885.1	ASM205788v1	Saccharomyces cerevisiae	baker's yeast SK1 (2017 SC)	4932	fungi
GCA_002082055.1	nHd_3.1	Hypsibius dujardini	H.dujardini (Z151 2017 tardigrades)	232323	invertebrate
GCA_002102435.1	Ovir.te_1.0	Odocoileus virginianus texanus	white-tailed deer (Pink-7 2017 genbank)	9880	mammals(L)
GCA_002201575.1	ASM220157v1	Neomonachus schauinslandi	Hawaiian monk seal (2017 Johns Hopkins U genbank)	29088	mammals(L)
GCA_002201775.1	ALER1.0	Ammotragus lervia	aoudad	9899	mammals
GCA_002215935.1	ASM221593v1	Psammomys obesus	fat sand rat	48139	mammals
GCA_002250225.1	ASM225022v1	Saccharomyces cerevisiae	baker's yeast SK1 (2017 Stanford)	4932	fungi
GCA_002288905.2	ASM228890v2	Enhydra lutris kenyoni	sea otter (GAN:26980312 2017 genbank)	391180	mammals(L)
GCA_002288925.2	ASM228892v2	Delphinapterus leucas	beluga whale (GAN/ISIS: 26980492/103006 v2 2017)	9749	mammals(L)
GCA_002406435.1	ASM240643v1	Spermophilus dauricus	Daurian ground squirrel	99837	mammals
GCA_002443075.1	Milu1.0	Elaphurus davidianus	Pere David's deer	43332	mammals
GCA_002754865.1	ASM275486v1	Callithrix jacchus	white-tufted-ear marmoset (CJ-08-46 2017)	9483	primates(L)
GCA_002776525.1	ASM277652v1	Piliocolobus tephrosceles	Ugandan red Colobus (RC106 v1 2017)	591936	primates(L)
GCA_002844635.1	USMARCv1.0	Sus scrofa	pig (USMARCv1)	9823	mammals
GCA_002844835.1	ASM284483v1	Dicerorhinus sumatrensis sumatrensis	Sumatran rhinoceros (Ipuh 2017)	310712	mammals
GCA_002880755.3	Clint_PTRv2	Pan troglodytes	chimpanzee genbank	9598	primates(L)
GCA_002880775.3	Susie_PABv2	Pongo abelii	Sumatran orangutan (2018 genbank)	9601	primates(L)
GCA_002940915.2	ASM294091v2	Desmodus rotundus	common vampire bat (DRU21DN04 2018 genbank)	9430	mammals(L)
GCA_002966995.1	ASM296699v1	Ornithorhynchus anatinus	platypus (Pmale09 2018 BGI)	9258	mammals(L)
GCA_002995585.1	ASM299558v1	Hippopotamus amphibius	hippopotamus (HIP001 2018)	9833	mammals
GCA_003013265.1	ASM301326v1	Trypanosoma congolense IL3000	Trypanosoma congolense (IL3000 2018 kinetoplastids)	1068625	invertebrate
GCA_003031525.1	Neophocaena_asiaeorientalis_V1	Neophocaena asiaeorientalis asiaeorientalis	Yangtze finless porpoise (v1 2018 genbank)	1706337	mammals(L)
GCA_003052745.1	Sp34_v7	Caenorhabditis inopinata	nematode C.inopinata	1978547	invertebrate
GCA_003327715.1	PumCon1.0	Puma concolor	puma (SC36_Marlon 2018 genbank)	9696	mammals(L)
GCA_003342835.1	rhePen1	Rhea pennata	lesser rhea	8795	birds
GCA_003343005.1	rheAme1	Rhea americana	greater rhea	8797	birds
GCA_003369685.2	UOA_Angus_1	Bos indicus x Bos taurus	hybrid cattle	30522	mammals
GCA_003413605.1	Chrysolophus_pictus_GenomeV1.0	Chrysolophus pictus	golden pheasant	9089	birds
GCA_003957525.1	bTaeGut1_v1.h	Taeniopygia guttata	zebra finch	59729	birds
GCA_003957555.2	bCalAnn1_v1.p	Calypte anna	Anna's hummingbird	9244	birds(L)
GCA_003957565.2	bTaeGut1_v1.p	Taeniopygia guttata	zebra finch (Black17 v1 2019 genbank VGP)	59729	birds(L)
GCA_003957575.1	bCalAnn1_v1.h	Calypte anna	Anna's hummingbird	9244	birds
GCA_004011185.1	bStrHab1_v1.h	Strigops habroptila	Kakapo	2489341	birds
GCA_004023785.1	MunMun_v1_BIUU	Mungos mungo	banded mongoose	210652	mammals
GCA_004023805.1	PanOnc_v1_BIUU	Panthera onca	jaguar	9690	mammals
GCA_004023825.1	VulLag_v1_BIUU	Vulpes lagopus	Arctic fox (US066 2019 Broad)	494514	mammals(L)
GCA_004023845.1	HelPar_v1_BIUU	Helogale parvula	dwarf mongoose	210647	mammals
GCA_004023865.1	MirAng_v1_BIUU	Mirounga angustirostris	Northern elephant seal (BS05 2019 Broad)	9716	mammals
GCA_004023885.1	CryFer_v1_BIUU	Cryptoprocta ferox	fossa	94188	mammals
GCA_004023905.1	SurSur_v1_BIUU	Suricata suricatta	meerkat (BS45 2019 Broad)	37032	mammals(L)
GCA_004023925.1	FelNig_v1_BIUU	Felis nigripes	black-footed cat	61379	mammals
GCA_004023945.1	HyaHya_v1_BIUU	Hyaena hyaena	striped hyena (BS54 2019 Broad)	95912	mammals
GCA_004023965.1	SpiGra_v1_BIUU	Spilogale gracilis	western spotted skunk	30551	mammals
GCA_004024565.1	ZalCal_v1_BIUU	Zalophus californianus	California sea lion (BS06 2019 Broad)	9704	mammals(L)
GCA_004024585.1	ParHer_v1_BIUU	Paradoxurus hermaphroditus	Asian palm civet	71117	mammals
GCA_004024605.1	PteBra_v1_BIUU	Pteronura brasiliensis	giant otter	9672	mammals
GCA_004024625.1	MelCap_v1_BIUU	Mellivora capensis	ratel	9664	mammals
GCA_004024645.1	MizCoq_v1_BIUU	Mirza coquereli	Coquerel's mouse lemur	47180	primates
GCA_004024665.1	LemCat_v1_BIUU	Lemur catta	ring-tailed lemur BS26 Broad 2019	9447	primates(L)
GCA_004024685.1	DipSte_v1_BIUU	Dipodomys stephensi	Stephens's kangaroo rat	323379	mammals
GCA_004024705.1	MosMos_v1_BIUU	Moschus moschiferus	Siberian musk deer (BS20 2019 Broad)	68415	mammals
GCA_004024725.1	CheMed_v1_BIUU	Cheirogaleus medius	lesser dwarf lemur	9460	primates
GCA_004024745.1	CatWag_v1_BIUU	Catagonus wagneri	Chacoan peccary (BS18 v1 2019 Broad)	51154	mammals(L)
GCA_004024745.2	CatWag_v2_BIUU_UCD	Catagonus wagneri	Chacoan peccary (BS20 v2 2019 Broad)	51154	mammals
GCA_004024765.1	ZapHud_v1_BIUU	Zapus hudsonius	meadow jumping mouse	160400	mammals
GCA_004024785.1	AteGeo_v1_BIUU	Ateles geoffroyi	black-handed spider monkey	9509	primates
GCA_004024805.1	XerIna_v1_BIUU	Xerus inauris	South African ground squirrel	234690	mammals
GCA_004024825.1	PygNem_v1_BIUU	Pygathrix nemaeus	red shanked douc langur	54133	primates
GCA_004024845.1	TonSau_v1_BIUU	Tonatia saurophila	stripe-headed round-eared bat	171122	mammals
GCA_004024865.1	RouAeg_v1_BIUU	Rousettus aegyptiacus	Egyptian rousette (US006 2019 Broad)	9407	mammals(L)
GCA_004024885.1	SagImp_v1_BIUU	Saguinus imperator	tamarin	9491	primates
GCA_004024905.1	TapInd_v1_BIUU	Tapirus indicus	Asiatic tapir	9802	mammals
GCA_004024925.1	ScaAqu_v1_BIUU	Scalopus aquaticus	eastern mole	71119	mammals
GCA_004024945.1	UroGra_v1_BIUU	Uropsilus gracilis	gracile shrew mole	182669	mammals
GCA_004024965.1	TraJav_v1_BIUU	Tragulus javanicus	Java mouse-deer (US108 2019 Broad)	9849	mammals
GCA_004024985.1	SaiTat_v1_BIUU	Saiga tatarica	saiga antelope	34875	mammals
GCA_004025005.1	TadBra_v1_BIUU	Tadarida brasiliensis	Brazilian free-tailed bat	9438	mammals
GCA_004025025.1	TapTer_v1_BIUU	Tapirus terrestris	Brazilian tapir	9801	mammals
GCA_004025045.1	SigHis_v1_BIUU	Sigmodon hispidus	hispid cotton rat	42415	mammals
GCA_004025065.1	SemEnt_v1_BIUU	Semnopithecus entellus	Hanuman langur	88029	primates
GCA_004025085.1	ThrSwi_v1_BIUU	Thryonomys swinderianus	Greater cane rat	10169	mammals
GCA_004025105.1	TamTet_v1_BIUU	Tamandua tetradactyla	southern tamandua	48850	mammals
GCA_004025125.1	TolMat_v1_BIUU	Tolypeutes matacus	southern three-banded armadillo	183749	mammals
GCA_004026525.1	MinSch_v1_BIUU	Miniopterus schreibersii	Schreibers' long-fingered bat	9433	mammals
GCA_004026545.1	MorMeg_v1_BIUU	Mormoops blainvillei	Antillean ghost-faced bat	118852	mammals
GCA_004026565.1	RanTarSib_v1_BIUU	Rangifer tarandus	reindeer	9870	mammals
GCA_004026585.1	NocLep_v1_BIUU	Noctilio leporinus	greater bulldog bat	94963	mammals
GCA_004026605.1	OndZib_v1_BIUU	Ondatra zibethicus	muskrat	10060	mammals
GCA_004026625.1	PipPip_v1_BIUU	Pipistrellus pipistrellus	common pipistrelle	59474	mammals
GCA_004026645.1	PitPit_v1_BIUU	Pithecia pithecia	white-faced saki	43777	primates
GCA_004026665.1	MurFea_v1_BIUU	Murina aurata feae	little tube-nosed bat	1453894	mammals
GCA_004026685.1	MonMon_M_v1_BIUU	Monodon monoceros	narwhal (BS41 2019 Broad)	40151	mammals(L)
GCA_004026705.1	MicTal_v1_BIUU	Microgale talazaci	Talazac's shrew tenrec	176115	mammals
GCA_004026725.1	OnyTor_v1_BIUU	Onychomys torridus	southern grasshopper mouse (US017 2019 Broad)	38674	mammals(L)
GCA_004026745.1	MyrTri_v1_BIUU	Myrmecophaga tridactyla	giant anteater	71006	mammals
GCA_004026765.1	MicHir_v1_BIUU	Micronycteris hirsuta	hairy big-eared bat (US037 2019 Broad)	148065	mammals
GCA_004026785.1	MerUng_v1_BIUU	Meriones unguiculatus	Mongolian gerbil (US013 2019 Broad)	10047	mammals(L)
GCA_004026805.1	LasBor_v1_BIUU	Lasiurus borealis	red bat	258930	mammals
GCA_004026825.1	HemHyl_v1_BIUU	Hemitragus hylocrius	Nilgiri tahr	330464	mammals
GCA_004026845.1	HetBruBak_v1_BIUU	Heterohyrax brucei	yellow-spotted hyrax	77598	mammals
GCA_004026855.1	LepAme_v1_BIUU	Lepus americanus	snowshoe hare	48086	mammals
GCA_004026885.1	MegLyr_v1_BIUU	Megaderma lyra	Indian false vampire	9413	mammals
GCA_004026905.1	HysCri_v1_BIUU	Hystrix cristata	crested porcupine	10137	mammals
GCA_004026925.1	ProCapCap_v1_BIUU	Procavia capensis	Cape rock hyrax (US060 2019 Broad)	9813	mammals
GCA_004026945.1	OviCan_v1_BIUU	Ovis canadensis	bighorn sheep	37174	mammals
GCA_004026965.1	PetTyp_v1_BIUU	Petromus typicus	dassie-rat	10183	mammals
GCA_004026985.1	MyoMyo_v1_BIUU	Myotis myotis	greater mouse-eared bat (2019 Broad)	51298	mammals(L)
GCA_004027005.1	MusAve_v1_BIUU	Muscardinus avellanarius	hazel dormouse	39082	mammals
GCA_004027025.1	MyoCoy_v1_BIUU	Myocastor coypus	nutria	10157	mammals
GCA_004027065.1	HipAmp_v1_BIUU	Hippopotamus amphibius	hippopotamus (BS01 2019 Broad)	9833	mammals
GCA_004027085.1	MesBid_v1_BIUU	Mesoplodon bidens	Sowerby's beaked whale	48745	mammals
GCA_004027105.1	NasLar_v1_BIUU	Nasalis larvatus	proboscis monkey	43780	primates
GCA_004027145.1	DauMad_v1_BIUU	Daubentonia madagascariensis	aye-aye	31869	primates
GCA_004027165.1	CteSoc_v1_BIUU	Ctenomys sociabilis	social tuco-tuco	43321	mammals
GCA_004027185.1	GliGli_v1_BIUU	Glis glis	fat dormouse	41261	mammals
GCA_004027205.1	CteGun_v1_BIUU	Ctenodactylus gundi	northern gundi	10166	mammals
GCA_004027225.2	bStrHab1.2.pri	Strigops habroptila	kakapo (Jane v2 2020 genbank VGP)	2489341	birds(L)
GCA_004027255.1	GalVar_v1_BIUU	Galeopterus variegatus	Sunda flying lemur (US047 2019 Broad)	482537	mammals
GCA_004027275.1	EulFul_v1_BIUU	Eulemur fulvus	brown lemur	13515	primates
GCA_004027295.1	DolPat_v1_BIUU	Dolichotis patagonum	Patagonian cavy	29091	mammals
GCA_004027315.1	DicBicMic_v1_BIUU	Diceros bicornis	black rhinoceros (BS38 2019 Broad)	9805	mammals
GCA_004027335.1	EryPat_v1_BIUU	Erythrocebus patas	red guenon	9538	primates
GCA_004027375.1	MacSob_v1_BIUU	Macroglossus sobrinus	long-tongued fruit bat (US102 2019 Broad)	326083	mammals
GCA_004027395.1	CanFam_VD_v1_BIUU	Canis lupus familiaris	dog (BS72 2019 Broad)	9615	mammals(L)
GCA_004027415.1	HipGal_v1_BIUU	Hipposideros galeritus	Cantor's roundleaf bat	58069	mammals
GCA_004027435.1	ArtJam_v1_BIUU	Artibeus jamaicensis	Jamaican fruit-eating bat (US092 2019 Broad)	9417	mammals(L)
GCA_004027455.1	HydHyd_v1_BIUU	Hydrochoerus hydrochaeris	capybara	10149	mammals
GCA_004027475.1	AnoCau_v1_BIUU	Anoura caudifer	tailed tailless bat	27642	mammals
GCA_004027495.1	BeaHun_v1_BIUU	Beatragus hunteri	hirola (BS46 2019 Broad)	59527	mammals
GCA_004027515.1	AntAmePen_v1_BIUU	Antilocapra americana	pronghorn (BS35 2019 Broad)	9891	mammals(L)
GCA_004027535.1	AcoCah_v1_BIUU	Acomys cahirinus	Egyptian spiny mouse	10068	mammals
GCA_004027555.1	CraTho_v1_BIUU	Craseonycteris thonglongyai	hog-nosed bat	208972	mammals
GCA_004027575.1	CriGam_v1_BIUU	Cricetomys gambianus	Gambian giant pouched rat	10085	mammals
GCA_004027595.1	DinBra_v1_BIUU	Dinomys branickii	pacarana	108858	mammals
GCA_004027615.1	CertNeg_v1_BIUU	Cercopithecus neglectus	De Brazza's monkey	36227	primates
GCA_004027635.1	CroInd_v1_BIUU	Crocidura indochinensis	Indochinese shrew (US011 2019 Broad)	876679	mammals
GCA_004027655.1	GraMur_v1_BIUU	Graphiurus murinus	woodland dormouse	51346	mammals
GCA_004027675.1	CasCan_v1_BIUU	Castor canadensis	American beaver (US014 2019 Broad)	51338	mammals(L)
GCA_004027695.1	CavTsc_v1_BIUU	Cavia tschudii	Montane guinea pig	143287	mammals
GCA_004027715.1	CalDon_v1_BIUU	Plecturocebus donacophilus	Bolivian titi	230833	primates
GCA_004027735.1	CarPer_v1_BIUU	Carollia perspicillata	Seba's short-tailed bat	40233	mammals
GCA_004027755.1	CebAlb_v1_BIUU	Cebus albifrons	white-fronted capuchin	9514	primates
GCA_004027775.1	BraVar_v1_BIUU	Bradypus variegatus	brown-throated sloth	9355	mammals
GCA_004027795.1	CerCot_v1_BIUU	Ceratotherium simum cottoni	northern white rhinoceros	310713	mammals
GCA_004027815.1	NycCou_v1_BIUU	Nycticebus coucang	slow loris	9470	primates
GCA_004027835.1	AloPal_v1_BIUU	Alouatta palliata	mantled howler monkey	30589	primates
GCA_004027855.1	ChoDid_v1_BIUU	Choloepus didactylus	southern two-toed sloth (US054 2019 Broad)	27675	mammals(L)
GCA_004027875.1	AplRuf_v1_BIUU	Aplodontia rufa	mountain beaver	51342	mammals
GCA_004027895.1	AllBul_v1_BIUU	Orientallactaga bullata	Gobi jerboa	1041416	mammals
GCA_004027915.1	CapPil_v1_BIUU	Capromys pilorides	Desmarest's hutia	34842	mammals
GCA_004027935.1	ChrAsi_v1_BIUU	Chrysochloris asiatica	Cape golden mole (BS56 2019 Broad)	185453	mammals(L)
GCA_004027955.1	ChaVel_v1_BIUU	Chaetophractus vellerosus	Screaming hairy armadillo	340076	mammals
GCA_004115175.2	mOrnAna1.alt.v3	Ornithorhynchus anatinus	platypus (alt pseudohaplotype Pmale09 2020 VGP)	9258	mammals
GCA_004115215.3	mOrnAna1.pri.v3	Ornithorhynchus anatinus	platypus (Pmale09 v3 2020 VGP)	9258	mammals(L)
GCA_004115245.1	mPhyDis1_v1.h	Phyllostomus discolor	pale spear-nosed bat (alt pseudohaplotype MPI-MPIP 2019 VGP)	89673	mammals
GCA_004115265.2	mRhiFer1_v1.p	Rhinolophus ferrumequinum	greater horseshoe bat	59479	mammals(L)
GCA_004115295.1	mRhiFer1_v1.h	Rhinolophus ferrumequinum	greater horseshoe bat (MPI-CBG 2019 VGP)	59479	mammals
GCA_004363415.1	EscRob_v1_BIUU	Eschrichtius robustus	grey whale	9764	mammals
GCA_004363435.1	PlaMin_v1_BIUU	Platanista minor	Indus River dolphin	48752	mammals
GCA_004363455.1	EubJap_v1_BIUU	Eubalaena japonica	North Pacific right whale	302098	mammals
GCA_004363475.1	PerLonPac_v1_BIUU	Perognathus longimembris pacificus	Pacific pocket mouse (BS65 2019 Broad)	214514	mammals
GCA_004363495.1	PhoPho_v1_BIUU	Phocoena phocoena	harbor porpoise	9742	mammals
